objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
filmphoto001,tulips_001.jpg,,Tulips at Central Park,image/jpeg,Black and white capture of tulips at the park during spring.,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Flowers; Landscape; Black-and-White; 110mm,"Manhattan, NY",40.779441342146605,-73.96907038450361,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto002,castle_007.jpg,,Belvedere Castle at Central Park,image/jpeg,Black and white capture of the Belvedere Castle at the park.,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Castle; Landscape; Black-and-white; 110mm,"Manhattan, NY",40.779441342146605,-73.96907038450361,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto003,centralpark_003.jpg,,Belvedere Castle at Central Park,image/jpeg,Black and white capture of the Belvedere Castle at the park.,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Castle; Landscape; Black-and-white; 110mm,"Manhattan, NY",40.779441342146605,-73.96907038450361,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto004,centralpark_004.jpg,,Flowers and people walking at the Park,image/jpeg,Black and white capture of people walking at the park during springs and flowers can be seen,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Spring; people; flowers; Black-and-white; 110mm,"Manhattan, NY",40.779441342146605,-73.96907038450361,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto005,centralpark_009.jpg,,People walking at the park,image/jpeg,Black and white capture of people walking at the park and a other enjoying the sunshine in the grass,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Spring; people; Black-and-white; 110mm,"Manhattan, NY",40.779441342146605,-73.96907038450361,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto006,museum_002.jpg,,Museum architecture,image/jpeg,Black and white capture of the exterior Building of the Museum of Natural History,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Spring; people; Black-and-white; 110mm,"Manhattan, NY",40.78133048771549,-73.97396815120334,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto007,park_006.jpg,,Belvedere Castle at Central Park,image/jpeg,Black and white capture of the Belvedere Castle at the park.,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Castle; Landscape; Black-and-white; 110mm,"Manhattan, NY",40.779441342146605,-73.96907038450361,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto008,parkskyline_005.jpg,,Skyline view from Central Park,image/jpeg,Black and white capture of the skyline from CP.,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Castle; Landscape; Black-and-white; 110mm,"Manhattan, NY",40.779441342146605,-73.96907038450361,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto009,themet_008.jpg,,Pollarded trees in the front of the Metropolitan Museum of NYC,image/jpeg,Black and white capture of bare branch group of pollarded trees in the front of the Metropolitan Museum of NYC.,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,Trees; Landscape; The MET; Black-and-white; 110mm,"Manhattan, NY",40.779550309963085, -73.96321181578769,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
filmphoto010,themet_010.jpg,,The MET accross the street ,image/jpeg,Black and white capture of the MET accross the street. The exhibition in highlight is Recasting the Past.,"Pessoa Oliveira, Rodrigo",,2025-04-30,yes,film photo,The Met; Museum;Black-and-white; 110mm,"Manhattan, NY",40.779550309963085, -73.96321181578769,110mm,Private Collection,Private Collection,,,110BW_NY_April2025,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image,eng,
